"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Contra Costa County, California!!Estimate","Contra Costa County, California!!Margin of Error","Marin County, California!!Estimate","Marin County, California!!Margin of Error","Napa County, California!!Estimate","Napa County, California!!Margin of Error","San Francisco County, California!!Estimate","San Francisco County, California!!Margin of Error","San Joaquin County, California!!Estimate","San Joaquin County, California!!Margin of Error","San Mateo County, California!!Estimate","San Mateo County, California!!Margin of Error","Santa Clara County, California!!Estimate","Santa Clara County, California!!Margin of Error","Solano County, California!!Estimate","Solano County, California!!Margin of Error","Sonoma County, California!!Estimate","Sonoma County, California!!Margin of Error"
"Total:","571,828","±2,806","391,996","±2,551","105,887","±1,549","49,619","±1,123","356,916","±3,701","223,062","±2,329","263,280","±1,811","633,786","±3,221","145,502","±1,849","190,662","±2,442"
"    No vehicle available","56,013","±2,838","22,872","±2,535","5,053","±1,241","2,392","±706","111,510","±4,996","16,241","±1,910","13,287","±1,779","33,383","±2,671","8,155","±1,212","8,108","±1,431"
"    1 vehicle available","186,223","±5,222","109,167","±3,087","35,536","±2,557","14,951","±1,223","145,943","±5,056","61,282","±2,826","78,546","±4,046","171,566","±5,098","40,881","±2,931","62,439","±2,932"
"    2 vehicles available","204,855","±5,254","152,670","±5,224","44,194","±2,319","17,603","±1,306","72,054","±3,691","86,039","±3,711","104,529","±3,907","255,747","±6,564","52,678","±3,288","71,040","±3,531"
"    3 vehicles available","83,059","±3,570","69,277","±3,683","16,517","±1,470","9,943","±1,333","18,956","±1,755","39,202","±3,621","41,227","±2,531","111,235","±4,818","28,486","±2,273","31,313","±2,398"
"    4 or more vehicles available","41,678","±2,912","38,010","±2,861","4,587","±935","4,730","±825","8,453","±1,380","20,298","±1,757","25,691","±2,308","61,855","±3,181","15,302","±1,840","17,762","±1,808"
"    No workers:","141,364","±4,116","94,308","±3,726","29,727","±2,073","13,550","±1,298","79,334","±3,453","60,138","±2,795","51,205","±2,379","122,362","±3,941","37,855","±2,419","50,492","±2,338"
"        No vehicle available","29,685","±2,112","14,310","±2,018","3,591","±1,102","1,769","±649","43,357","±3,197","11,268","±1,457","6,859","±1,262","19,770","±2,230","6,120","±1,077","4,998","±1,041"
"        1 vehicle available","60,733","±3,573","41,219","±2,630","14,209","±1,538","7,012","±1,026","27,552","±2,178","25,547","±1,754","24,670","±2,167","53,305","±3,317","16,531","±1,884","26,973","±1,853"
"        2 vehicles available","35,582","±2,846","29,583","±2,556","9,483","±1,284","3,237","±593","7,051","±1,169","17,065","±1,720","14,400","±1,221","35,408","±2,671","11,192","±1,545","14,197","±1,545"
"        3 vehicles available","11,309","±1,485","6,527","±1,182","2,143","±721","1,231","±422","1,111","±444","4,555","±1,107","3,911","±856","10,325","±1,579","2,803","±680","2,649","±756"
"        4 or more vehicles available","4,055","±1,033","2,669","±819","301","±216","301","±184","263","±197","1,703","±533","1,365","±458","3,554","±735","1,209","±455","1,675","±489"
"    1 worker:","212,632","±5,623","144,249","±4,992","37,930","±2,496","16,730","±1,319","142,990","±4,427","85,426","±3,828","96,804","±3,528","236,778","±6,196","55,487","±2,944","68,348","±3,393"
"        No vehicle available","18,231","±2,019","6,122","±1,373","1,085","±443","407","±278","46,137","±4,052","3,698","±920","4,253","±1,023","7,929","±1,325","1,589","±592","1,808","±594"
"        1 vehicle available","95,361","±4,001","54,715","±3,067","16,345","±2,099","6,802","±931","71,982","±4,030","30,165","±2,270","40,444","±2,896","96,248","±4,210","21,077","±2,354","28,995","±2,366"
"        2 vehicles available","68,874","±3,832","57,126","±3,184","15,036","±1,592","6,225","±1,002","20,348","±2,153","36,305","±3,046","37,747","±2,870","93,333","±4,471","19,962","±2,040","25,040","±2,462"
"        3 vehicles available","22,725","±2,332","18,556","±2,130","4,451","±957","2,509","±652","3,561","±807","11,727","±1,859","10,203","±1,303","29,370","±2,368","9,181","±1,254","8,290","±1,391"
"        4 or more vehicles available","7,441","±1,189","7,730","±1,434","1,013","±473","787","±319","962","±517","3,531","±853","4,157","±786","9,898","±1,425","3,678","±1,002","4,215","±900"
"    2 workers:","170,772","±5,651","116,863","±5,127","32,289","±2,305","15,137","±1,626","103,379","±3,769","59,277","±3,378","83,478","±3,909","207,081","±6,051","41,011","±2,531","56,339","±2,902"
"        No vehicle available","6,263","±1,308","2,214","±774","197","±206","176","±168","17,121","±2,069","1,055","±497","1,634","±541","4,210","±942","364","±219","1,190","±635"
"        1 vehicle available","26,927","±1,827","10,727","±1,663","4,566","±1,150","999","±437","40,074","±2,955","5,071","±1,059","11,824","±1,753","19,638","±1,762","3,014","±1,007","6,062","±1,340"
"        2 vehicles available","91,542","±4,306","59,513","±3,614","18,460","±1,968","7,586","±1,090","37,185","±2,444","30,695","±2,724","45,145","±3,044","116,933","±5,247","19,871","±2,161","28,574","±2,435"
"        3 vehicles available","33,054","±2,458","31,925","±2,936","7,329","±1,349","4,829","±1,069","6,720","±1,155","15,507","±1,911","17,255","±1,532","48,820","±3,436","12,738","±1,696","14,154","±1,803"
"        4 or more vehicles available","12,986","±1,557","12,484","±1,784","1,737","±584","1,547","±402","2,279","±662","6,949","±1,190","7,620","±1,412","17,480","±1,651","5,024","±785","6,359","±1,266"
"    3 or more workers:","47,060","±3,491","36,576","±3,430","5,941","±1,233","4,202","±897","31,213","±2,773","18,221","±2,384","31,793","±2,533","67,565","±3,047","11,149","±1,359","15,483","±1,889"
"        No vehicle available","1,834","±627","226","±172","180","±196","40","±66","4,895","±1,106","220","±158","541","±416","1,474","±510","82","±132","112","±111"
"        1 vehicle available","3,202","±841","2,506","±979","416","±305","138","±189","6,335","±1,520","499","±396","1,608","±770","2,375","±835","259","±215","409","±302"
"        2 vehicles available","8,857","±1,528","6,448","±1,377","1,215","±655","555","±300","7,470","±1,326","1,974","±789","7,237","±1,466","10,073","±1,547","1,653","±619","3,229","±981"
"        3 vehicles available","15,971","±1,944","12,269","±2,009","2,594","±827","1,374","±498","7,564","±1,297","7,413","±1,822","9,858","±1,439","22,720","±2,254","3,764","±934","6,220","±1,367"
"        4 or more vehicles available","17,196","±2,148","15,127","±1,914","1,536","±523","2,095","±633","4,949","±1,098","8,115","±1,349","12,549","±1,805","30,923","±2,223","5,391","±1,007","5,513","±1,113"