"DISTRICT","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","HSENROLL","COLLFTE","COLLPTE","gqpop"
1,77063,136159,142652,83878,3115,86091,32328,13378,12324,19033,364498,3812,9372,69194,36812,23462,44946,149933,89443,93,26695,53388,4065,8946,6013,6493
2,104116,217984,221572,141418,20494,92764,24775,20031,21198,38112,98232,9958,18927,109555,50054,33078,12164,13628,58460,73,3132,10775,6931,6281,1076,3588
3,125956,344238,348172,200014,64959,68768,32278,26443,25819,41416,148493,19005,41150,150430,91807,45780,15523,18538,71701,99,19647,22985,8650,11572,20879,3934
4,51639,145575,147670,80018,36299,17885,11635,12178,11395,16431,26060,6288,20010,56332,39398,25642,4847,4679,13170,11,1071,2282,7098,24504,5982,2095
5,99139,303330,304994,166464,69339,34086,21801,25686,24801,26851,134658,15854,47565,108621,84708,48246,21764,23251,48827,78,27891,12847,11622,1741,5446,1664
6,83332,220204,222113,118085,53867,34376,15086,17556,18413,32277,118166,13695,38054,74856,60014,35494,18578,35428,33703,153,11696,18608,11026,3359,7684,1909
7,79329,229894,232514,120643,58060,25390,16985,16755,14326,31263,142204,15587,45272,78096,62879,30680,15123,35328,35430,320,17874,38129,9655,1312,3892,2620
8,71216,179965,188584,94321,45157,30107,13485,11443,12406,33882,126661,9067,37172,65573,47409,29363,17939,24394,51373,80,12969,19906,11199,15778,16461,8619
9,104658,279613,280511,154251,53602,56624,19295,21359,24639,39365,333187,22013,41180,127665,60151,29502,34944,60227,48125,47,143936,45908,9733,2587,7908,898
10,119088,328778,329485,162490,86131,40024,20678,23690,24188,50532,124491,17984,64576,103128,96960,46837,25117,24671,50424,202,12771,11306,17405,9969,23996,707
11,108427,316842,328162,171937,63713,49524,32884,27477,21558,26508,179220,21816,59707,136262,76082,34295,16815,46599,67070,85,15752,32899,14119,32746,16181,11320
12,114561,419928,422173,208783,96268,21228,26330,27827,27161,33243,116155,25128,81350,151550,110502,53643,17421,17064,37363,86,29514,14707,22021,1882,7166,2245
13,74974,231097,232025,116566,60904,16310,13577,17107,17569,26721,61489,15516,46224,76391,63765,30129,11035,9768,28374,33,9138,3141,12742,0,0,928
14,37384,119501,120713,59364,31828,6801,8907,8741,8766,10970,48572,7967,27035,37659,33031,15021,9355,5777,13333,2173,12756,5178,6774,1106,2599,1212
15,79828,225900,226707,117512,64827,17937,12622,15559,19010,32637,136876,13826,46482,71330,67081,27988,28251,24986,37025,118,29358,17138,12209,1106,4893,807
16,107675,346768,348293,175298,85148,26746,18085,24783,27928,36879,160563,21443,63076,128872,91152,43750,27265,23569,42796,243,52414,14276,16425,4435,7507,1525
17,127965,386084,389141,195311,92995,39507,37739,38728,29363,22135,163205,24286,69675,139949,105036,50195,23257,20570,59948,202,40127,19101,17953,16558,13355,3057
18,181443,469766,475707,242239,95293,97171,64773,48114,33669,34887,223243,29302,77094,187482,119834,61995,20121,41951,98307,66,30431,32367,20573,6954,19592,5941
19,72113,168195,181577,97382,35056,42184,22838,16198,13936,19141,118743,8480,28747,82250,38315,23785,12772,35167,47569,48,12903,10284,5751,36767,6608,13382
20,90265,262584,263662,130117,69753,26343,29170,26840,19396,14859,74876,15053,46482,94385,71108,36634,13467,10035,25367,690,15018,10299,10359,1909,5143,1078
21,89414,240199,241313,123722,67176,25600,22361,24845,22728,19480,119116,15132,40409,83106,68405,34261,16367,25600,41391,901,13385,21472,9353,6846,13678,1114
22,60928,147190,149204,69718,42198,21435,12426,13315,11894,23293,82201,6779,26676,39047,41919,34783,12270,23838,35159,103,3868,6963,11116,3490,2162,2014
23,52226,152109,152388,71985,45637,8605,5854,8439,11393,26540,71744,8376,37165,39114,46602,21131,6793,21245,19006,118,19784,4798,10369,0,0,279
24,96764,311421,312422,140673,87636,14735,29017,28796,22368,16583,67973,19980,70894,103944,81536,36068,11848,9104,28100,1051,6877,10993,17541,1409,5314,1001
25,53207,147992,148956,69503,42363,14917,18455,15968,11121,7663,49861,9371,25361,49596,42141,22487,7101,6832,21121,486,6977,7344,6278,504,66,964
26,94124,276480,277554,131037,79463,19208,26512,29240,22845,15527,107658,17116,56890,93635,71793,38120,15999,14512,43865,980,13564,18738,14119,2641,7434,1074
27,34478,101576,102431,52877,29275,7742,9416,10239,8013,6810,54060,6204,20511,34468,26910,14338,7384,8924,19358,529,8778,9087,7029,1613,4630,855
28,14587,35344,36918,18300,16136,2323,4297,3781,2741,3768,31918,1265,5726,9454,10758,9715,1882,2206,13257,1677,10689,2207,803,1497,170,1574
29,65297,168306,171009,88006,56300,13601,18920,20180,14131,12066,81206,8999,29863,54615,48675,28857,11296,13682,27665,1210,14841,12512,7332,8264,1144,2703
30,92638,242963,244721,121250,75947,21492,29414,29713,19183,14328,127187,13709,44067,80247,65977,40721,20466,21804,44096,713,17107,23001,11609,6225,15613,1758
31,32123,81246,81861,40754,37105,3463,9688,9306,6810,6319,32489,3338,13868,22349,25529,16777,4155,3998,11429,1501,7750,3656,3671,0,0,615
32,24586,61970,62444,31936,20296,5388,6232,5949,5163,7242,27664,3116,10548,16810,20009,11961,3651,9260,8595,24,1928,4206,2517,0,0,474
33,42423,105292,107064,55465,33004,12346,10643,9544,8939,13297,61076,5553,18895,29407,32114,21095,9642,12665,21777,159,5275,11558,4782,757,813,1772
34,37839,86046,86684,43345,29411,12162,7351,7057,7260,16171,47573,3786,15799,18929,28701,19469,8277,10698,20957,82,3289,4270,4105,1489,5370,638
